id,product_id,image_url
1,1,https://m.media-amazon.com/images/I/41OuvqjhaqL.jpg
2,1,https://m.media-amazon.com/images/I/51zt+Bb48FL.jpg
3,1,https://m.media-amazon.com/images/I/51EXdVtkpAL.jpg
4,1,https://m.media-amazon.com/images/I/41u3T2DxWkL.jpg
5,1,https://m.media-amazon.com/images/I/41ZOt3pgbSL.jpg
6,1,https://m.media-amazon.com/images/I/41FEYlXQNFL.jpg
7,1,https://m.media-amazon.com/images/I/41Nqt4ULBUL.jpg
8,2,https://m.media-amazon.com/images/I/31Q5ITz9A1L.jpg
9,2,https://m.media-amazon.com/images/I/31zTqnl8B1L.jpg
10,2,https://m.media-amazon.com/images/I/31cJeqWHkXL.jpg
11,2,https://m.media-amazon.com/images/I/31VChOZlUvL.jpg
12,2,https://m.media-amazon.com/images/I/31tZwWe46cL.jpg
13,2,https://m.media-amazon.com/images/I/312gwJ-AfwL.jpg
14,2,https://m.media-amazon.com/images/I/31aftLNUgNL.jpg
15,3,https://m.media-amazon.com/images/I/41nClsGThtL.jpg
16,3,https://m.media-amazon.com/images/I/41wk9QjiMnL.jpg
17,3,https://m.media-amazon.com/images/I/41BPdM1ttRL.jpg
18,3,https://m.media-amazon.com/images/I/41bb40A9iYL.jpg
19,3,https://m.media-amazon.com/images/I/41u0DuohyDL.jpg
20,3,https://m.media-amazon.com/images/I/41wZ7aDasSL.jpg
21,3,https://m.media-amazon.com/images/I/41qjIMKAX+L.jpg
22,4,https://m.media-amazon.com/images/I/41u3nswtlAL.jpg
23,4,https://m.media-amazon.com/images/I/41+6R69avQL.jpg
24,4,https://m.media-amazon.com/images/I/51ZZf46pd2L.jpg
25,4,https://m.media-amazon.com/images/I/511Wct8kR9L.jpg
26,4,https://m.media-amazon.com/images/I/51MuvpcOhOL.jpg
27,4,https://m.media-amazon.com/images/I/51-7HmsLJLL.jpg
28,4,https://m.media-amazon.com/images/I/51BgT0jdDTL.jpg
29,5,https://m.media-amazon.com/images/I/31PV8FxA9hL.jpg
30,5,https://m.media-amazon.com/images/I/31rM6XZH+mL.jpg
31,5,https://m.media-amazon.com/images/I/31TK9uSOD8L.jpg
32,5,https://m.media-amazon.com/images/I/31O-VlY70-L.jpg
33,5,https://m.media-amazon.com/images/I/31JvxRZkABL.jpg
34,5,https://m.media-amazon.com/images/I/31srUKGhBlL.jpg
35,5,https://m.media-amazon.com/images/I/31ZDmA7TNoL.jpg
36,6,https://m.media-amazon.com/images/I/31B4LeV-WbL.jpg
37,6,https://m.media-amazon.com/images/I/412jkzCjB6L.jpg
38,6,https://m.media-amazon.com/images/I/41-HU6rtq5L.jpg
39,6,https://m.media-amazon.com/images/I/31wSdYxy+eL.jpg
40,6,https://m.media-amazon.com/images/I/31qVaT2nYYL.jpg
41,6,https://m.media-amazon.com/images/I/31fW4B5Hu7L.jpg
42,6,https://m.media-amazon.com/images/I/31Wr27F2MAL.jpg
43,7,https://m.media-amazon.com/images/I/41Vt3Tj1QKL.jpg
44,7,https://m.media-amazon.com/images/I/41riQrO0ohL.jpg
45,7,https://m.media-amazon.com/images/I/41lrVmFhYJL.jpg
46,7,https://m.media-amazon.com/images/I/31Ll2xhEXkL.jpg
47,7,https://m.media-amazon.com/images/I/31ZPOr8r-iL.jpg
